id,volt,status,createddate
263,2.235,1,2022-03-14 16:01:31
264,2.232,1,2022-03-14 16:01:32
265,2.239,1,2022-03-14 16:01:34
266,2.245,1,2022-03-14 16:01:35
267,2.229,1,2022-03-14 16:01:36
268,2.252,1,2022-03-14 16:01:36
269,2.232,1,2022-03-14 16:01:37
270,2.239,1,2022-03-14 16:01:38
271,2.255,1,2022-03-14 16:01:39
272,2.245,1,2022-03-14 16:01:40
273,2.235,1,2022-03-14 16:01:42
274,2.229,1,2022-03-14 16:01:43
275,2.219,1,2022-03-14 16:01:44
276,2.226,1,2022-03-14 16:01:44
277,2.245,1,2022-03-14 16:01:46
278,2.229,1,2022-03-14 16:01:47
279,2.235,1,2022-03-14 16:01:48
280,2.261,1,2022-03-14 16:01:49
281,2.245,1,2022-03-14 16:01:50
282,2.248,1,2022-03-14 16:01:51
283,2.229,1,2022-03-14 16:01:52
284,2.232,1,2022-03-14 16:01:53
285,2.223,1,2022-03-14 16:01:54
286,2.223,1,2022-03-14 16:01:55
287,2.235,1,2022-03-14 16:01:56
288,2.223,1,2022-03-14 16:01:57
289,2.229,1,2022-03-14 16:01:58
290,2.226,1,2022-03-14 16:01:59
291,2.229,1,2022-03-14 16:02:00
292,2.21,1,2022-03-14 16:02:01
293,2.223,1,2022-03-14 16:02:02
294,2.219,1,2022-03-14 16:02:03
295,2.226,1,2022-03-14 16:02:04
296,2.232,1,2022-03-14 16:02:05
297,2.223,1,2022-03-14 16:02:06
298,2.223,1,2022-03-14 16:02:07
299,2.206,1,2022-03-14 16:02:08
300,2.213,1,2022-03-14 16:02:09
301,2.223,1,2022-03-14 16:02:10
302,2.2,1,2022-03-14 16:02:11
303,2.213,1,2022-03-14 16:02:12
304,2.21,1,2022-03-14 16:02:13
